district,pvi,incumbent_party,pres_margin_2024,incumbent_name
AK-AL,R+7,R,-14.0,Nick Begich
AL-01,R+28,R,-55.0,Barry Moore
AL-02,D+5,D,9.0,Shomari Figures
AL-03,R+23,R,-47.0,Mike Rogers
AL-04,R+34,R,-67.0,Robert Aderholt
AL-05,R+15,R,-29.0,Dale Strong
AL-06,R+20,R,-39.0,Gary Palmer
AL-07,D+12,D,23.0,Terri Sewell
AR-01,R+23,R,-46.0,Rick Crawford
AR-02,R+8,R,-16.0,French Hill
AR-03,R+13,R,-25.0,Steve Womack
AR-04,R+20,R,-40.0,Bruce Westerman
AZ-01,R+1,R,-3.0,David Schweikert
AZ-02,R+7,R,-15.0,Eli Crane
AZ-03,D+22,D,40.0,Yassamin Ansari
AZ-04,D+4,D,7.0,Greg Stanton
AZ-05,R+10,R,-20.0,Andy Biggs
AZ-06,R+1,R,-1.0,Juan Ciscomani
AZ-07,D+13,D,22.0,Adelita Grijalva
AZ-08,R+8,R,-17.0,Abe Hamadeh
AZ-09,R+15,R,-31.0,Paul Gosar
CA-01,R+12,R,-25.0,VACANT (LaMalfa)
CA-02,D+24,D,45.0,Jared Huffman
CA-03,R+2,R,-3.0,Kevin Kiley
CA-04,D+17,D,31.0,Mike Thompson
CA-05,R+8,R,-18.0,Tom McClintock
CA-06,D+8,D,14.0,Ami Bera
CA-07,D+17,D,30.0,Doris Matsui
CA-08,D+24,D,43.0,John Garamendi
CA-09,D+2,D,-1.0,Josh Harder
CA-10,D+18,D,34.0,Mark DeSaulnier
CA-11,D+36,D,68.0,Nancy Pelosi
CA-12,D+39,D,74.0,Lateefah Simon
CA-13,D+1,D,-5.0,Adam Gray
CA-14,D+20,D,36.0,VACANT (Swalwell)
CA-15,D+27,D,48.0,Kevin Mullin
CA-16,D+25,D,48.0,Sam Liccardo
CA-17,D+21,D,38.0,Ro Khanna
CA-18,D+18,D,29.0,Zoe Lofgren
CA-19,D+18,D,34.0,Jimmy Panetta
CA-20,R+15,R,-30.0,Vince Fong
CA-21,D+5,D,4.0,Jim Costa
CA-22,D+1,R,-6.0,David Valadao
CA-23,R+8,R,-17.0,Jay Obernolte
CA-24,D+13,D,25.0,Salud Carbajal
CA-25,D+4,D,2.0,Raul Ruiz
CA-26,D+8,D,13.0,Julia Brownley
CA-27,D+3,D,3.0,George Whitesides
CA-28,D+15,D,27.0,Judy Chu
CA-29,D+22,D,35.0,Luz Rivas
CA-30,D+22,D,41.0,Laura Friedman
CA-31,D+12,D,17.0,Gil Cisneros
CA-32,D+17,D,31.0,Brad Sherman
CA-33,D+8,D,9.0,Pete Aguilar
CA-34,D+29,D,51.0,Jimmy Gomez
CA-35,D+9,D,11.0,Norma Torres
CA-36,D+21,D,39.0,Ted Lieu
CA-37,D+34,D,61.0,Sydney Kamlager-Dove
CA-38,D+11,D,16.0,Linda Sanchez
