district,d_pct,r_pct,margin_d_minus_r,winner_2024
AL-01,21.52,78.48,-56.95,R
AL-02,54.6,45.4,9.2,D
AL-03,0.0,100.0,-100.0,R
AL-04,0.0,100.0,-100.0,R
AL-05,0.0,100.0,-100.0,R
AL-06,29.6,70.4,-40.79,R
AL-07,63.72,36.28,27.44,D
AK-AL,47.52,48.52,-1.01,R
AZ-01,48.09,51.91,-3.81,R
AZ-02,45.52,54.48,-8.97,R
AZ-03,70.94,26.58,44.36,D
AZ-04,52.74,45.45,7.29,D
AZ-05,39.61,60.39,-20.78,R
AZ-06,47.5,50.01,-2.51,R
AZ-07,63.45,36.55,26.9,D
AZ-08,43.5,56.5,-13.0,R
AZ-09,34.7,65.3,-30.6,R
AR-01,24.0,72.88,-48.88,R
AR-02,41.07,58.93,-17.87,R
AR-03,31.77,63.8,-32.03,R
AR-04,27.09,72.91,-45.82,R
CA-01,34.66,65.34,-30.69,R
CA-02,71.88,28.12,43.77,D
CA-03,44.53,55.47,-10.93,R
CA-04,66.46,33.54,32.91,D
CA-05,38.23,61.77,-23.53,R
CA-06,57.62,42.38,15.24,D
CA-07,66.75,33.25,33.5,D
CA-08,73.97,26.03,47.94,D
CA-09,51.79,48.21,3.58,D
CA-10,66.47,33.53,32.95,D
CA-11,81.03,18.97,62.07,D
CA-12,100.0,0.0,100.0,D
CA-13,50.04,49.96,0.09,D
CA-14,67.75,32.25,35.51,D
CA-15,73.1,26.9,46.19,D
CA-16,100.0,0.0,100.0,D
CA-17,67.66,32.34,35.33,D
CA-18,64.63,35.37,29.25,D
CA-19,69.3,30.7,38.59,D
CA-20,0.0,100.0,-100.0,R
CA-21,52.57,47.43,5.15,D
CA-22,46.58,53.42,-6.84,R
CA-23,39.86,60.14,-20.28,R
CA-24,62.7,37.3,25.39,D
CA-25,56.25,43.75,12.51,D
CA-26,56.05,43.95,12.11,D
CA-27,51.33,48.67,2.66,D
CA-28,64.93,35.07,29.86,D
CA-29,69.78,30.22,39.55,D
CA-30,68.38,31.62,36.75,D
CA-31,59.73,40.27,19.46,D
CA-32,66.2,33.8,32.4,D
CA-33,58.81,41.19,17.63,D
CA-34,100.0,0.0,100.0,D
CA-35,58.41,41.59,16.81,D
